Connectives,Adverbials,Na.Adjectives,I.Adjectives,Adverbs,Onomatope,Interrogatives
,,素直,弱い,わずかに,,
,,丁寧,黒い,ずいぶん,,
,,幼稚,遠い,少し,,
,,主要,薄い,あまり,,
,,盛ん,狭い,ぜんぜん,,
,,余計,素晴らしい,なかなか,,
,,直,珍しい,まあまあ,,
,,重大,寂しい,あらかじめ,,
,,急速,冷たい,初めに,,
,,曖昧,寒い,今,,
,,正式,恐ろしい,まだ,,
,,奇妙,忙しい,まもなく,,
,,知的,細い,まれに,,
,,微か,恥ずかしい,また,,
,,真っ直ぐ,悲しい,もう,,
,,深刻,宜しい,昔,,
,,貴重,濃い,最後,,
,,微妙,苦しい,最近,,
,,有力,熱い,最初,,
,,可哀想,細かい,先に,,
,,純粋,太い,先ほど,,
,,新規,偉い,さっき,,
,,穏やか,速い,すぐに,,
,,公的,鋭い,少し,,
,,熱心,青い,たびたび,,
,,素敵,仕方無い,しばしば,,
,,強力,厚い,しょっちゅう,,
,,法的,親しい,すでに,,
,,密か,暑い,次に,,
,,透明,幼い,よく,,
,,独特,相応しい,やがて,,
,,高等,久しい,ずっと,,
,,不可欠,有り難い,そう,,
,,身近,固い,どう,,
,,豊富,物凄い,もう,,
,,有利,懐かしい,こう,,
,,優秀,丸い,良く,,
,,稀,貧しい,未だ,,
,,活発,硬い,少し,,
,,夢中,著しい,余り,,
,,頻繁,きつい,直ぐ,,
,,不要,怪しい,唯,,
,,大幅,煩い,矢張り,,
,,滅多,不味い,何故,,
,,偉大,温かい,先ず,,
,,強烈,汚い,例えば,,
,,増し,素早い,詰まり,,
,,真っ赤,望ましい,全く,,
,,鮮やか,危ない,一寸,,
,,新鮮,悔しい,若し,,
,,不当,柔らかい,特に,,
,,急激,等しい,勿論,,
,,私的,大人しい,既に,,
,,肝心,暖かい,一番,,
,,特有,堅い,初めて,,
,,グローバル,めでたい,可成,,
,,単独,軟らかい,色々,,
,,無数,浅い,最も,,
,,適正,凄まじい,迚も,,
,,巧み,黄色い,もっと,,
,,バラバラ,情けない,必ず,,
,,気の毒,手堅い,沢山,,
,,早め,疑わしい,当然,,
,,広大,幅広い,猶,,
,,順調,輝かしい,幾ら,,
,,最適,生々しい,はっきり,,
,,不法,危うい,ずっと,,
,,厳密,乏しい,直接,,
,,大胆,しつこい,暫く,,
,,異様,羨ましい,まあ,,
,,柔軟,空しい,中々,,
,,性的,でかい,決して,,
,,健全,涼しい,軈て,,
,,俄か,力強い,如何に,,
,,強引,淡い,寧ろ,,
,,華やか,幅広い,丸で,,
,,別々,荒い,一杯,,
,,顕著,賢い,恐らく,,
,,的確,易しい,結構,,
,,スムーズ,詰らない,嘗て,,
,,丈夫,涼しい,再び,,
,,密接,苦い,略,,
,,迅速,眠い,多分,,
,,シンプル,堪らない,僅か,,
,,忠実,臭い,正に,,
,,大袈裟,とんでも無い,兎に角,,
,,緩やか,粗い,確り,,
,,無縁,違いない,極めて,,
,,率直,上手い,急度,,
,,賑やか,薄暗い,ゆっくり,,
,,漠然,酸っぱい,元々,,
,,明白,騒がしい,突然,,
,,爽やか,喧しい,ちゃんと,,
,,温暖,醜い,宜しく,,
,,愚か,思いがけない,丁度,,
,,人的,鈍い,漸く,,
,,真っ白,厚かましい,きちんと,,
,,対等,恋しい,遂に,,
,,前向き,済まない,仮令,,
,,露わ,図々しい,漸と,,
,,有害,蒸し暑い,是非,,
,,惨め,険しい,全然,,
,,間近,下らない,随分,,
,,過激,痒い,飽くまで,,
,,器用,勿体ない,すっかり,,
,,速やか,塩辛い,どんどん,,
,,気楽,眩しい,改めて,,
,,ビッグ,面倒くさい,じっと,,
,,無難,諄い,極く,,
,,柔らか,清い,単に,,
,,安易,勇ましい,行成,,
,,陽気,憎らしい,やや,,
,,著名,頼もしい,言わば,,
,,気軽,心地良い,つい,,
,,猛烈,好ましい,益々,,
,,自在,快い,取り敢えず,,
,,然様,逞しい,次々,,
,,呆然,やばい,最早,,
,,簡易,惜しい,兎も角,,
,,真っ暗,限り無い,屡,,
,,上品,細長い,一層,,
,,鮮明,慌ただしい,ふと,,
,,同等,緩い,一旦,,
,,明瞭,可愛らしい,大抵,,
,,密,尊い,成る程,,
,,厳格,切ない,どうぞ,,
,,真っ黒,青白い,同じく,,
,,端的,夥しい,愈,,
,,粗末,分厚い,偶に,,
,,執拗,しんどい,段々,,
,,ぼろぼろ,甚だしい,却って,,
,,滑らか,息苦しい,まさか,,
,,平ら,狡い,折角,,
,,未熟,心細い,態々,,
,,切,奥深い,無論,,
,,内的,ややこしい,大いに,,
,,モダン,頼り無い,余程,,
,,良好,儚い,幸い,,
,,一様,素っ気ない,偶々,,
,,平然,根強い,忽ち,,
,,細やか,うざい,取り分け,,
,,安価,脆い,そっと,,
,,尋常,嫌らしい,敢えて,,
,,頑固,気まずい,直ちに,,
,,厳重,程遠い,そろそろ,,
,,過度,容易い,未だ未だ,,
,,円滑,四角い,主に,,
,,壮大,渋い,早速,,
,,淡々,愛しい,凡そ,,
,,格別,腹立たしい,予め,,
,,外的,弱々しい,果たして,,
,,広範,鬱陶しい,成る可く,,
,,ユニーク,潔い,たっぷり,,
,,猥褻,目覚ましい,況して,,
,,劇的,荒々しい,一見,,
,,公然,誇らしい,何しろ,,
,,適度,みっともない,ほっと,,
,,ドライ,甲高い,斯く,,
,,ハッピー,煩わしい,ぼんやり,,
,,単一,卑しい,とんでも,,
,,巧妙,だらし無い,今更,,
,,手軽,怠い,只管,,
,,スロー,手早い,些か,,
,,深々,ぎこちない,そっくり,,
,,露骨,訝しい,どうせ,,
,,抜群,重苦しい,せめて,,
,,定か,重たい,到頭,,
,,控えめ,憎い,態と,,
,,明快,若々しい,大分,,
,,多彩,騒がしい,さっぱり,,
,,希薄,覚束無い,ぴったり,,
,,旺盛,恋しい,専ら,,
,,巨額,呆気ない,一向,,
,,存分,名高い,精々,,
,,着実,酸っぱい,大して,,
,,細か,もどかしい,頻り,,
,,多大,清々しい,ひょっと,,
,,良質,,固より,,
,,唐突,,依然,,
,,クール,,仲良く,,
,,質的,,恰も,,
,,大まか,,時折,,
,,強硬,,到底,,
,,無残,,あっさり,,
,,裕福,,すっきり,,
,,大嫌い,,さっと,,
,,愕然,,然程,,
,,謙虚,,現に,,
,,濃厚,,度々,,
,,強固,,正しく,,
,,暢気,,のんびり,,
,,悪質,,じっくり,,
,,ロマンチック,,ぎりぎり,,
