Words,Meaning
プロジェクト,project
ぼう,"stick, pole"
まるい,round
もっていく,take along (thing)
やりかた,way of doing something
ゆっくり,leisurely
ゆっくりする,relax
リーダー,leader
ろんぶん,"thesis, article"
あぶない,dangerous
えいこくじん,British (person)
オーストラリア,Australia
オーバー,overcoat
おなじ,same
かい,X times
かがく,chemistry
かつ,win
かなざわ,Kanazawa
かなり,fairly
きせつ,season
グアム,Guam
グランドキャニオン,Grand Canyon
げんこう,draft
こうつうじこ,traffic accident
こしょうする,breakdown
コンサート,concert
さいご,"final, last"
かさをさす,put up (an umbrella)
さっき,a little while ago
しあい,"match, game"
しゅうしょくしけん,employment exam
シンフォニー,symphony
しんりがく,psychology
せき,seat
そら,sky
たいこ,Japanese drum
たいせつな,important
だいとうりょう,president of a country
タイプ,typing
ちこくする,being late for something
ちゅうとう,Middle East
ていねいな,"thorough, careful, meticulous"
てつやする,staying up all night
ほしがでる,be out
てんきよほう,weather forecast
とおやま,Toyama
トラック,truck
ドンドン,rapidly (sound symbolic)
にほんしゅ,Japanese sake
ニュース,news
にる,resemble
はくりょくがある,powerful
ばつ,batsu(X mark)
はでな,flamboyant
はんたいする,opposition
パンフレット,pamphlet
へん,vicinity
ホール,hall
ほし,star
まける,lose (game)
まにあう,make it in time
まんてん,perfect score
みずぎ,"bathing suit, swimsuit"
みつかる,be found
やくそくする,promise
ゆうがた,evening
ゆうしょく,dinner
ユニバーシティー,university
よていひょう,schedule
Ｊポップ,Japanese pop music
あいて,"partner, opponent"
あかちゃん,baby
あげる,give
あとで,"afterwards, later"
アドバイスする,advice
アニメ,animated cartoon
あんぜんな,safe
いけん,opinion
いつか,"someday, sometime"
うえき,"garden plant, tree"
えさ,"feed, pet food"
おせいぼ,year-end present
おせんべつ,good-bye present
おちゅうげん,midyear present
おとしだま,new year's gift money
おわり,end
かきなおす,"rewrite, revise"
かたち,shape
がっかりする,be disappointed
きめる,decide
きをつける,pay attention to
くださる,give
くれる,give
けいさつ,police
けしゴム,eraser
こうすい,perfume
さしあげる,give
めぐすりをさす,put into
じこ,accident
じょうし,one's superior
しんせき,relatives
せいぼ,year-end present
せんべつ,good-bye present
そつぎょうしき,graduation ceremony
たかだ,Takada
ちちのひ,Father's Day
ちゃん,suffix (child's name)
ちゅうげん,midyear present
つづく,continue
つなげる,connect (transitive)
デジタルカメラ,digital camera
とまる,stop (intransitive)
にゅうがくする,entering school
にゅうしゃする,entering company
ハート,heart
ははのひ,Mother's Day
バレンタインデー,Valentine's Day
ビーフジャーキー,beef jerky
ひやす,"cool, chill (transitive)"
ブーツ,boots
まさこ,Masako
まちがい,mistake
まんが,comic strip
みかん,mandarin orange
めぐすり,eye drops
めずらしい,rare
やる,give
アイロン,iron
あむ,knit 
あんしんする,relief
いらっしゃい,welcome (casual)
おちゃをいれる,make (tea)
えらぶ,"choose, select"
おごる,treat someone to something
おじいさん,old man
おしえる,"tell, inform"
おじさん,middle-aged man
おばあさん,old woman
おばさん,middle-aged woman
おめでとうございます,congratulations
カーテン,"curtain, drapes"
かいてんする,opening a store
アイロンをかける,iron
かぎをかける,lock
カタログ,catalogue
かんがえ,thought
きっさてん,coffee shop
きる,"cut, chop"
クラッカー,cracker
けっか,result
ごうかな,"deluxe, luxurious, gorgeous"
ごちそうする,treat someone to something (formal)
こと,koto (Japanese musical instrument)
さいようする,employment
サインする,"signboard, sign"
サラダ,salad
シャンペン,champagne 
じゅんびする,preparation
しょうたいする,invitation
しょうたいじょう,invitation letter
しんねん,new year
すいせんじょう,recommendation letter
スープ,soup
スピーカー,speaker
そう,so
ソフト,software
ターキー,turkey
だす,"serve, put out"
たんてい,private detective
チーズ,cheese
ちゃわん,rice bowl
ちゃわんむし,thick custard soup 
つたえる,"tell, inform"
てつだう,"help, assist"
てぶくろ,gloves
てんちょう,shop/branch manager
ぬう,sew
パジャマ,pajamas
パスタ,pasta
ひっこしする,housemoving
プリン,pudding
へいてんする,closing a store
ホチキス,stapler
マリーナ,marina
むす,steam
メモする,memo
めんせつする,interview
やく,"bake, broil"
やくす,translate
やすだ,Yasuda
ゆずる,"give up, hand over"
りれきしょ,résumé
レモネード,lemonade
いやな,"annoying, unpleasant"
うつす,copy
エネルギー,energy
おこす,wake up (transitive)
おんがくかい,music concert
おんなのこ,girl
かえる,frog
がくぶせい,undergraduate student
かしだす,lend out
がっき,"semester, academic term"
かつどうする,activity
かむ,bite
かりだす,check out
きけんな,dangerous
きこえる,be audible
くさ,grass
グッスリ,deep sleep (sound symbolic)
クレジットカード,credit card
けいかくする,plan
げんき,"high spirits, good health"
げんじものがたり,The Tale of Genji
ゴクンと,swallowing (sound symbolic)
ことわる,decline
ころす,kill
さいふ,"purse, wallet"
さかんな,flourishing
さくしゃ,author
サンディエゴ,San Diego
しかる,scold
しぜん,nature
しゃちょう,company president
ストレス,stress
スパイ,spy
すり,pickpocket
すると,then
せかいじゅう,all over the world
そうりつする,"establishment, founding"
ただ,free of charge
たたく,pat
たのむ,"ask, request"
たまる,accumulate
ちょきんばこ,piggy bank
とぶ,fly
とめる,stop (transitive)
どろぼう,thief
なく,cry
にもつ,baggage
ぬすむ,steal
ばか,stupid
はかいする,destruction
はっこうする,"publication, print (newspapers, magazines, etc.)"
はっぴょうする,presentation
はなび,fireworks
はりだす,post
ひ,"spark, fire"
ひく,run over
ひっこす,move
ひる,noon
ふむ,step on 
へび,snake
ペラペラ,fluently (sound symbolic)
ペロっと,rapid eating (sound symbolic)
ほめる,praise
マイク,microphone
みえる,be visible
むし,insect
めざましどけい,alarm clock
よごす,"stain, soil"
よわい,weak
ラブレター,love letter
わたす,hand over
わらう,"smile, laugh, laugh at"
わるぐち,"slander, (Lit.) bad mouth"
あそび,play
あやまる,apologize
あんないする,guide
いいわけ,excuse
もんくをいう,complain
いえ,no
いえだ,Ieda
えいかいわ,English conversation
おうぼする,application 
おもしろい,"funny, amusing"
おや,parent(s)
ガールフレンド,girlfriend
がいしょくする,eat out
がた,polite plural marker (people)
かのじょ,she
からだ,body
かれ,he
かわいそうな,"pitiable, pitiful"
かわもと,Kawamoto
きびしい,"severe, strict"
きらう,hate
きんこ,safe
こうつう,transportation
サボる,cut classes
さんかする,participation
しあわせな,happy
しゅうじ,calligraphy
じゅく,cramming school
じゅけんする,taking an exam
すいえいする,swimming
ずっと,much more
セクハラ,sexual harassment
せんもんがっこう,vocational school
そっと,softly
それなのに,nevertheless
そろばん,abacus
そんなに,that much
たのしむ,enjoy
たまに,once in a while
ちゃんと,properly
デート,date
とうぜん,a matter of course
とる,take something away
ならいごと,"lesson, practice, class"
ねぶそく,not having enough sleep
はげます,encourage
パソコン,personal computer
バレエ,ballet
はんこうする,"rebellion, defiance"
ビデオゲーム,video game
ひどい,terrible
ふあんな,uneasy
ふうふ,married couple
ぶちょう,department head
ふる,jilt
ボーイフレンド,boyfriend
ほんだ,Honda
むすこさん,son
むすめさん,daughter
むりやり,"forcefully, against one's will"
もの,thing
もんく,complaint
ゆどうふ,tofu in hot broth
ようし,form
よふかしする,staying up late at night
りこんする,divorce
ワープロ,word processor
アトランタ,Atlanta
いためる,stir fry
おれいする,gratitude
ごかいする,misunderstanding
サンアントニオ,San Antonio
シアトル,Seattle
セントルイス,"St, Louis"
そぼろ,minced meat
ごはんをたく,cook (rice)
ダラス,Dallas
デンバー,Denver
とり,"chicken, bird"
ニューオリンズ,New Orleans
ひきにく,ground meat
ヒューストン,Houston
フィラデルフィア,Philadelphia
ぼんさい,dwarfed tree in a pot
マイアミ,Miami
ミネアポリス,Minneapolis
メンフィス,Memphis
ワシントン,"Washington, D.C."
