Words,Meaning
また,again
みせ,shop
メキシコじん,Mexican people
もちろん,of course
やまもと,Yamamoto
りゅうがくせい,foreign student
ロシアご,Russian language
あかるい,"bright, cheerful"
あし,"foot, leg"
あたま,head
あたらしい,new
あちら,that direction
あまり,(not) much
いい,good
いかが,how (respectful)
いじわるな,mean
いつも,always
ウィルソン,Wilson
うるさい,noisy
おいしい,delicious
おおきい,"big, large"
おおさか,Osaka
おもしろい,interesting
かみ,hair
きたない,dirty
きれいな,"clean, beautuful"
くち,mouth
くらい,dark
ケーキ,cake
げんきな,energetic
コース,course
こちら,this direction
しずかな,quiet
しつれいな,impolite
シン,Singh
しんせつな,kind
スミス,Smith
せ,body height
セール,sale
せまい,"narrow, small"
ぜんぜん,(not) at all
そちら,that direction
たかい,"expensive, high"
ちいさい,small
ちかい,near
ちょっと,a little
つまらない,"trivial, trifle, boring"
て,"hand, arm"
デモ,demonstration
どう,how
とうきょう,Tokyo
とおい,far
とても,very
どんな ,what kind of
ながい,long
にぎやかな,lively
はいる,enter
はな,nose
ひくい,"low, short (height)"
ひろい,"spacious, wide"
ふべんな,inconvenient
ふまじめな,not serious
ふるい,old
べんりな,convenient
まえだ,Maeda
まじめな,serious
まずい,"not tasty, yucky"
みじかい,short (length)
みみ,ear
むずかしい,difficult
め,eye
やさしい,"easy, gentle"
やすい,"cheap, inexpensive"
やました,Yamashita
ラボ,laboratory
ルイス,Lewis
あに,elder brother (plain)
あね,elder sister (plain)
あめ,rain
あるく,walk
いただく,receive (respectful)
いもうと,younger sister (plain)
いもうとさん,younger sister (respectful)
うた,song
うたう,sing
おい,nephew (plain)
おいごさん,nephew (respectful)
おかあさん,mother (respectful)
おくさん,wife (respectful)
おこさん,child (respectful)
おじ,uncle (plain)
おじいさん,grandfather (respectful)
おじさん,uncle (respectful)
おとうさん,father (respectful)
おとうと,younger brother (plain)
おとうとさん,younger brother (respectful)
おにいさん,elder brother (respectful)
おねえさん,elder sister (respectful)
おば,aunt (plain)
おばあさん,grandmother (respectful)
おばさん,aunt (respectful)
おまごさん,grandchild (respectful)
かす,lend
かぞく,family (plain)
かない,wife (plain)
きょうだい,siblings
きょねん,last year
ください,please give
けっこうな,"fine, nice, wonderful"
こうこう,high school
こうこうせい,high school student
ごかぞく,family (respectful)
ごきょうだい,siblings (respectful)
ごしゅじん,husband (respectful)
ことし,this year
こども,child (plain)
ごりょうしん,parents (respectful)
さんにん,three persons
しごとする,job
しぬ,die
ジュース,juice
しゅじん,husband (plain)
シュミット,Schmidt
そふ,grandfather (plain)
そぼ,grandmother (plain)
それで,"therefore, so that"
タクシー,taxi
ちち,father (plain)
ところで,by the way
しゃしんをとる,take (a picture)
なんにん,how many people
にん,counter  (people)
はは,mother (plain)
はやい,early
ひとり,one person
ふたり,two persons
ふゆ,winter
ふる,fall
ふるかわ,Furukawa
まご,grandchild (plain)
まだ,still
まつ,wait
めい,niece (plain)
めいごさん,niece (respectful)
もつ,"have, hold"
やすかわ,Yasukawa
よこはま,Yokohama
よぶ,"call, summon"
りょうしん,parents (plain)
Ｅメール,email
Ｔシャツ,T-shirt
イギリス,England
イタリアりょうり,Italian cuisine
いちばん,"first, best, number one"
いつつ,five things
ウィスキー,whisky
ウェイター,waiter
え,"picture, drawing"
えん,X Yen
オーダーする,order
おかんじょう,check
おなか,stomach
おねがいする,"favor, request"
オレンジ,orange
おんがく,music
かく,draw
かげつ,X month(s)
カレーライス,curry rice
かわいい,cute
かんたんな,easy
ギター,guitar
きょうかしょ,textbook
きらいな,dislike
くだもの,fruit
クラシック,classical music
クラスメート,classmate
こ,X unit(s)
ここのつ,nine things
さつ,counter (bound things)
じかん,X hour(s)
ジャズ,Jazz
じょうずな,good at
すきな,like
すきやき,Sukiyaki
すく,become empty
スポーツ,sport
セント,cent(s)
そうじする,clean
だい,"counter (cars, TV, etc.)"
たのしい,"enjoyable, pleasant"
たべもの,food
ちず,map
ちゅうかりょうり,Chinese cuisine
ちゅうごく,China
デザート,dessert
どうぞ,please
とお,ten things
とくいな,good at
なさる,do (respectful)
ななつ,seven things
ねん,X year(s)
のみもの,drinks
はい,"X cup(s), bowl(s), glass(es)"
バスケットボール,basketball
はなし,"talk, story"
はやい,fast
ハンサムな,handsome
ハンドアウト,handout
ひとつ,one thing
ふたつ,two things
へたな,bad at
ほう,"direction, side, way"
ボストン,Boston
ほん,counter (long things)
まい,counter (flat things)
マグカップ,mug
みっつ,three things
むっつ,six things
やっつ,eight things
よっつ,four things
りんご,apple
れんしゅうする,practice
ロサンゼルス,Los Angeles
ロス,Los Angeles
ロック,rock
あく,open (intransitive)
いくら,how much
いそがしい,busy
イヤリング,earrings
インタビューする,interview
おおい,"many, plenty"
おくる,send
オフィスアワー,office hours
かかる,"take (time, expense)"
めがねをかける,wear (glasses)
がっこう,school
かぶる,"wear (hat, cap)"
かんじ,Chinese characters
きえる,turn off (intransitive)
きる,"wear (dress, shirt, suit)"
ぐらい,"about, approximately"
ごろ,"about, approximately (time)"
サングラス,sunglasses
ジーンズ,jeans
じかん,time
しまる,close (intransitive)
ジャック,Jack
ショートパンツ,shorts
しる,get to know
しんおおさか,Shin-Osaka
スーツ,suit
スカート,skirt
スニーカー,sneakers
ズボン,"trousers, pants"
すむ,start living somewhere
すもう,Sumo wrestling
する,wear (accessory)
すわる,sit down
セーター,sweater
ソックス,socks
たつ,stand up
つく,turn on (intransitive)
でんき,"electricity, electric light"
でんわする,telephone
ドア,door
どのぐらい,"how long, how much"
トレーナー,sweatshirt
なかやま,Nakayama
なごや,Nagoya
ヌエン,Nguyen
ネクタイ,necktie
ネックレス,necklace
パートナー,partner
ハイヒール,high heeled shoes
はかた,Hakata
はく,"wear (shoes, socks, trousers)"
はじめて,for the first time
はじめる,start (transitive)
ひがしアジア,East Asia
ひよう,expense
ひろしま,Hiroshima
ブラウス,blouse
プレゼントする,present
ぼうし,"hat, cap"
ほか,other (than something)
ホノルル,Honolulu
まど,window
めがね,glasses
もしもし,hello (on the phone)
ゆびわ,ring
ヨーロッパ,Europe
よく,well
ワイシャツ,dress shirt
わかる,understand
ワンピース,dress
アームストロング,Armstrong
あつい,hot
あまい,sweet
アラスカ,Alaska
いう,"say, speak, talk"
うんてんする,drive
えいぶんがく,English literature
エッセー,essay
エルビス,Elvis
おおどおり,boulevard
おかし,snack
おす,vinegar
おそい,"slow, late"
がいこく,foreign country
がくぶ,academic department
かたい,"tough, hard"
かみ,paper
かんがえる,think
クッキー,cookie
クラブ,club
こづつみ,parcel
コロンブス,Columbus
サービスする,service
さむい,cold
シェークスピア,Shakespeare
ジャパン,Japan
しょうせつ,novel
ジョン,John
す　,vinegar
すごい,teriffic
すずしい,cool
ステレオ,stereo (set)
せいぶつがく,biology
せんしゅ,sport player
そこ,bottom
タイ,Thailand
だめな,no good
ダンスする,dance
ち,blood
チーム,team
ちえ,"wisdom, intelligence"
ちから,power
つえ,cane
つき,moon
ディズニー,Disney
デトロイト,Detroit
とおり,street
ときどき,sometimes
なら,Nara
ニール,Neil
にく,meat
にっけい,of Japanese ancestry
はこ,box
ハムレット,Hamlet
ハワイ,Hawaii
ひがしやま,Higashiyama
ピザ,pizza
ビデオ,video
ひとびと,people
ふね,"boat, ship"
ブルース,blues
プレスリー,Presley
ペレス,Perez
ほんばこ,bookshelf
まいあさ,every morning
まいにち,everyday
まいばん,every evening
ミッキーマウス,Micky Mouse
もらう,receive
やわらかい,soft
らいしゅう,next week
ライトきょうだい,Wright Brothers
リンカーン,Lincoln
レノン,Lennon
わるい,bad
あき,autumn
アフリカ,Africa
いたい,painful
いみ,meaning
いろいろな,"various, many kinds of "
うなぎ,eel
おこめ,uncooked rice
おさとう,sugar
おしお,salt
おつり,change
おぼえる,memorize
カラオケ,karaoke
ぎゅうにく,beef
けさ,this morning
このあいだ,"some time ago, the other day"
こむぎこ,wheat flour
こめ,uncooked rice
こんしゅう,this week
さけ,salmon
さとう,sugar
しお,salt
じゃがいも,potato
じゅぎょう,class
しょうゆ,soy sauce
スピーチコンテスト,speech contest
せんたくする,laundry
ぜんぶ,all  
ダイエットする,diet
だいじょうぶな,"alright, okay"
だいすきな,like very much
たまご,egg
たまねぎ,onion
たんじょうび,birthday
チョコレート,chocolate
でる,"attend, enter (a contest)"
てんいん,store clerk
でんしレンジ,microwave oven
とうふ,tofu
とりにく,chicken
なぜ,why
ならう,learn
にわ,garden
にんじん,carrot
ねぎ,green onion
ねぼうする,oversleep
のり,laver
のりまき,norimaki
ばしょ,"location, place"
バター,butter
パン,bread
ひまな,"leisure, not busy"
ふじさん,Mt. Fuji
ほしい,"want, desire"
ほしがる,show signs of desire
ポップコーン,popcorn
みず,water
みなさん,everyone (respectful)
やさい,vegetable
ようかん,sweet jellied adzukibean paste
よぶ,invite
よみもの,readings
らいねん,next year
ラップトップ,laptop
りゅうがくする,studying abroad
れいぞうこ,refrigerator
レジ,cash register
あきはばら,Akihabara
あきやま,Akiyama
あさくさ,Asakusa
あさって,day after tomorrow
シャワーをあびる,take (a shower)
しけんをうける,take (an exam)
うれしい,"happy, pleased"
おてら,Buddhist temple
おてんき,weather
おととい,day before yesterday
おととし,year before last
おどる,dance
おまつり,festival
おみやげ,gift
かきかた,way of writing
きっぷ,ticket
くうこう,airport
こんげつ,this month
さくら,cherry blossom/tree
さびしい,lonely
さま,suffix (honored person)
さらいげつ,month after next
さらいしゅう,week after next
さらいねん,year after next
さんぽする,stroll
じつは,to tell the truth
シャワー,shower
しょうがっこう,elementary school
じんじゃ,Shinto shrine
スーツケース,suitcase
せんげつ,last month
せんせんげつ,month before last
せんせんしゅう,week before last
そつぎょうする,graduation
たすける,help
タンゴ,Tango
ちゅうがっこう,junior high school
つかいかた,"usage, way to use"
つくりかた,way of making
てら,Buddhist temple
てんき,weather
とき,"time, when"
なつ,summer
のる,"ride, get on"
はしる,run
はたらく,work
はる,spring
はるやすみ,spring vacation
ビートルズ,The Beatles
びょうき,illness
ひるねする,nap
プリンター,printer
ぶん,sentence
ぶんぽう,grammar
へんじする,reply
ホームステイする,homestay
ホストファミリー,host family
マイル,mile
まつり,festival
みやげ,gift
みんな,everyone
ゆき,snow
ゆきだるま,snowman
よみかた,way of reading
よろこぶ,"be happy, pleased"
らいげつ,next month
りょこうする,"trip, travel"
あげる,raise
あらう,wash
オートバイ,motorcycle
おくりもの,present
おくれる,late (to be)
おさら,dish
おしょうがつ,(1st month of) New Year
おそうしき,funeral ceremony
おふろ,bath
おべんとう,box lunch
おもい,heavy
おもち,rice cake
かいしゃ,company
かぜ,a cold
かるい,light (weight)
くに,country
グループ,group
けす,turn off (transitive)
けっこんしき,wedding ceremony
けんどう,kendo
さい,X year(s) old
さいきん,recently
さがす,search for
さら,dish
しゅうかん,X week(s)
しゅうかん,custom
しょうかいする,introduction
しょうがつ,(1st month of) New Year
しらべる,check
せいきょう,co-op
せいせき,grade
ぜひ,by all means
そうしき,funeral ceremony
たんご,"vocabulary, word"
つける,turn on (transitive)
ディズニーランド,Disneyland
できるだけ,as much as possible
てん,"points, score"
とまる,stay over night
なつめ,Natsume
ぬぐ,"take off (clothes, shoes)"
ねむい,sleepy
ねむる,sleep
はこぶ,"carry, transport"
パスポート,passport
ヒーター,heater
かぜをひく,catch (cold)
ひょうばん,reputation
ふとる,become fat
フラッシュカード,flash card
ふろ,bath
べんとう,box lunch
まいしゅう,every week
もち,rice cake
モニター,monitor
やすみ,day off
やすむ,"rest, take a day off"
やめる,quit doing something
やる,"do, try"
ゆうべ,last night
ゆうめいな,famous
よしゅうする,preparatory study
らくな,"easy, simple, comfortable, relaxed"
アイスクリーム,ice cream
あがる,step up
いちにちめ,first day
いつかめ,fifth day
うえの,Ueno
うっかり,carelessly
うっかりする,forget to do s.t. carelessly
おせわになる,be cared for
しけんにおちる,fail (exam)
か,or
かいわ,conversation
かお,face
かぎ,key
かぶき,kabuki
から,since
きっさてん,"cafe, coffee shop"
きって,postage stamp
ぎんざ,Ginza
けんかする,quarrel
げんかん,entrance
こうぎする,lecture
コート,coat
ここのかめ,ninth day
こたえる,answer
こどもたち,children
こまる,get in trouble
こわれる,break (intransitive)
こんがっき,this semester
さいしょ,first
さきに,"ahead, before"
さくぶん,"composition, writing"
じ,"letter, character"
しながわ,Shinagawa
じゅんばん,order
しんじゅく,Shinjuku
スカーフ,scarf
ずっと,"continuously, all the time"
せわになる,be cared for
だいぶつ,great statue of Buddha
ちかてつ,subway
つぎ,next
つく,arrive
でかける,go out
でる,leave
てん,X point(s)
とうかめ,tenth day
とうちゃくする,arrival
なのかめ,seventh day
なれる,become used to
は,tooth
おふろにはいる,take (a bath)
はずす,take off (accessories)
はる,paste
はるかわ,Harukawa
じしょをひく,look up (dictionary)
びじゅつかん,art museum
ふうとう,envelope
ふつかめ,second day
みがく,"brush, polish"
みっかめ,third day
ミルク,milk
むいかめ,sixth day
むらやま,Murayama
やむ,stop (raining)
ゆれる,jolt
ようかめ,eighth day
よっかめ,fourth day
よる,night
リムジン,airport shuttle bus
りょかん,Japanese-style inn
レシピ,recipe
わすれる,forget
いしゃ,medical doctor
いつでも,anytime
インターネット,Internet
おいしゃさん,medical doctor
おだいば,Odaiba
おとな,adult
がいこくじん,foreigner
かわく,get dry
ききとり,listening
きまつしけん,final exam
きをつける,be careful
くすり,medicine
くすりや,drug store
クリスマス,Christmas
けいたいでんわ,cellular phone
けんぶつする,sightseeing
こたえ,answer
こと,"matter, affair"
ことば,"language, word"
さわる,touch
しめきり,deadline
すう,inhale
スケッチする,sketch
ぜったいに,absolutely
せつめいする,explanation
せんたくき,washing machine
たしかに,"undoubtedly, definitely"
だす,"submit, send out (HW, letter)"
タバコ,"tobacco, cigarette"
たんい,unit(s)
つれてくる,"bring (person, animal)"
ど,X time(s)
ところ,place
なくす,lose
にがい,bitter
にんき,popularity
のど,throat
はらう,pay
ハンドバッグ,handbag
ピーシー,PC
びょういん,hospital
ボール,ball
ボタン,button
ホテル,hotel
まず,first of all
マッキントッシュ,Macintosh
までに,by X (time)
マネージャー,manager
ミーティング,meeting
もういちど,once more
もっと,more
もんげん,curfew
もんだい,problem
ようじ,"business, errand"
ようふく,(Western-style) clothes
よなか,middle of night
ろっぽんぎ,Roppongi
わかい,young
アーティスト,artist
あお,blue
あおい,blue
あか,red
あかい,red
あける,open (transitive)
あたたかい,warm
いし,stone
いたまえ,cook
いちねんじゅう,all year round
いつつめ,fifth
いれる,put into
いれる,"turn on (a switch), put into"
いろ,color
うちゅうひこうし,astronaut
えんそうする,music performance
おこる,get angry
おす,push
おちつく,calm down
おはなみ,flower viewing
おりる,"get off (train, airplane)"
かいしゃいん,"company employee, office worker"
かえる,change
かがくしゃ,scientist
かしゅ,singer
かど,corner
かなしい,sad
かわ,river
かんごし,nurse
き,tree
キーホルダー,key holder
きいろ,yellow
きいろい,yellow
きもち,"feelings, mood"
きょうし,teacher
くろ,black
くろい,black
げいじゅつか,artist
けんちくか,architect
ここのつめ,ninth
こする,rub
このは,leaf of a tree
コンピュータープログラマー,computer programmer
さく,bloom
さっか,"writer, novelist"
めをさます,wake up
シェフ,cook
ジャーナリスト,journalist
シャツ,shirt
じゅう,"in the middle of, throughout"
しゅふ,housewife
しょうせつか,"writer, novelist"
しょくじする,meal
じょゆう,actress
しろ,white
しろい,white
しんごう,traffic light
スイッチ,switch
スクリーン,screen (of a computer)
スポーツせんしゅ,athlete
せいじか,politician
せんがっき,last semester
だいく,carpenter
たす,add
ただしい,correct
たたみ,tatami mat
たぶん,"perhaps, probably"
たんけんか,explorer
ちゅう,"in the middle of, throughout"
ちゅうがくせい,junior high school student
つきあたり,the end of a street
つよい,strong
できる,"can do, come to being, be done"
デザイナー,designer
と,door
ななつめ,seventh
のうぎょうけいえいしゃ,farmer
はいゆう,actor
パイロット,pilot
はつめいか,inventor
はなみ,flower viewing
はれる,clear up
ひ,day
ひく,subtract
ひしょ,secretary
ひだり,left
ひとつめ,first
ひとばんじゅう,all through the night
びようし,hairdresser
ふたつめ,second
フライトアテンダント,flight attendant
ふるさと,hometown
べんごし,lawyer
ベンチ,bench
ぼく,I (typically by boys)
まいとし,every year
まいねん,every year
まがる,turn (intransitive)
まっすぐな,straight
マニュアル,manual
まんなか,(dead) center
みぎ,right
みち,"way, road, street"
みっつめ,third
みどり,green
みどりいろ,green color
むっつめ,sixth
もり,woods
や,X shop
やっつめ,eighth
やっと,finally
よっつめ,fourth
りょうし,fisherman
あおき,Aoki
あきち,vacant lot
あと,remaining
あとで,after
いそぐ,hurry
いまでも,"still now, even now"
うごく,move
えいがかん,movie theater
おえる,finish (transitive)
おおぜい,many (people)
おおやさん,landlord
おかげさまで,thanks to X
おきゃくさま,guest (respectful)
おきゃくさん,guest (respectful)
おちゃ,tea ceremony
おと,sound
おかねをおろす,withdraw (money)
おわる,finish (intransitive)
かいぎ,meeting
がいこくご,foreign language
かたづける,straighten (clean) up
きこくする,returning to one's home country
きもの,kimono
ゲーム,game
けす,erase
けれども,but
こくばん,blackboard
こぼす,spill
こわす,break (transitive)
コンピューターショップ,computer store
さめる,get cold
しめる,close (transitive)
しゅうりする,repair
しゅうりや,repair store
しゅっぱつする,departure
スケジュール,schedule
すてきな,"superb, splendid"
スピーチする,speech
せわする,care
そうだんする,consultation
そる,shave
それでは,well then (formal)
たからもの,treasure
たつ,be built
だんだん,gradually
ちゅういする,warning
ちょきんする,savings
てつだい,"help, assistance"
テナント,tenant
でる,"come out, go out"
でんきや,electric appliance shop
とくに,especially
とこや,barbershop
ノックする,knock
はじまる,start (intransitive)
はじめ,"first, beginning"
ひげ,"beard, mustache"
ビタミン,vitamin
ヒルマン,Hillman
ブラスバンド,brass band
ぶんか,culture
ページ,page
ボーッとする,become absentminded
ほんとうに,"really, truly"
まいつき,every month
まえに,before
まなぶ,"learn, study"
もう,more
よく,"often, frequently"
よやくする,reservation
らいがっき,next semester
らくに,"easily, smoothly"
りっぱな,splendid
ローン,loan
いじょう,more than X
いらっしゃる,"come, go (respectful)"
インストールする,installation
えんりょする,"reservation, hesitation"
おしゃべりする,chat
おせんべい,rice cracker
おそくまで,until late
おっしゃる,say (respectful)
おどろく,get surprised
おめざめになる,wake up (honorific)
からい,"hot, spicy, salty"
かんせいする,completion
きんじょ,neighborhood
くわしい,detailed
けっこんする,marriage
げんごがく,linguistics
ごぞんじだ,know (respectful)
ごらんになる,"see, watch (respectful)"
こわい,"threatening, scary"
しゅうしょくする,getting a job
じゅうどう,judo
しょうがくきん,scholarship (money)
じょうだん,joke
ショッピングセンター,shopping center/mall
しょどう,calligraphy
しんぱいする,"anxiety, concern, worry"
すくない,very few/little
ぜいきん,tax
せんぱい,one's senior
せんべい,rice cracker
たすかる,be saved
たりる,be sufficient
ちがう,"be wrong, different"
ちば,Chiba
ちゅうかがい,Chinatown
つめたい,cold
ていねいな,"polite, courteous"
てきとうな,appropriate
どうぶつ,animal
とどく,"reach, arrive"
ドライブする,drive
なおる,be repaired
なくなる,run out of
ねんまえ,X years ago
ばんごう,number
はんぶん,half
びっくりする,get surprised
ふくざつな,complicated
ぶつりがく,physics
ペア,pair
みせる,show
むらかみ,Murakami
めしあがる,eat (respectful)
もし,if
もってくる,bring (thing)
れんらくする,contact
れんらくをとる,"contact, communicate"
あじ,taste
あんなに,"so many, so much"
イベント,event
うまれる,be born
おまわりさん,police(wo)man
おもう,think
かいけいし,accountant
かざん,volcano
かに,crab
かんがえかた,way of thinking
きた,north
きっと,surely
キャンプする,camping
クラブ,"club, disco"
けいざい,economy
けいざいてきな,economical
けんがくする,study tour
けんきゅうする,research
