Words,Reading,Meaning
男子,だんし,"youth, boy"
男の人,おとこのひと,man
成人,せいじん,adult
成績,せいせき,results
慎重,しんちょう,careful
成長,せいちょう,growth
気づく,きづく,to notice
寄付,きふ,contribution
医師,いし,doctor
汚染,おせん,pollution
向ける,むける,to turn towards
隠れる,かくれる,to be hidden
隠す,かくす,to hide
スピーチ,スピーチ,speech
売れる,うれる,to sell
やはり,やはり,too
迷惑,めいわく,trouble
効く,きく,to be effective
心理,しんり,state of mind
いずれ,いずれ,"anyhow, eventually"
咳,せき,cough
成功,せいこう,success
器用,きよう,"skilful, clever"
害,がい,injury
当てる,あてる,"to hit, expose, apply, hold on"
当たる,あたる,"to be hit, strike, in contact"
体温,たいおん,temperature
体育,たいいく,physical education
よると,よると,according to
迷子,まいご,lost child
向く,むく,to face
平等,びょうどう,equality
金曜,きんよう,friday
専攻,せんこう,major subject
トランプ,トランプ,playing cards
性格,せいかく,character
だめ,だめ,no good
参考,さんこう,reference
明確,めいかく,clear
釣り,つり,fishing
愛情,あいじょう,love
解く,とく,to untie
企業,きぎょう,enterprise
明らか,あきらか,obvious
紐,ひも,string
有利,ゆうり,advantageous
巣,す,nest
勢い,いきおい,force
郵便,ゆうびん,mail service
参加,さんか,participation
命令,めいれい,order
次第,しだい,dependent upon
検査,けんさ,inspection
金融,きんゆう,financing
要点,ようてん,gist
梅,うめ,japanese apricot
準備,じゅんび,preparation
要素,ようそ,component
大部分,だいぶぶん,most part
雇う,やとう,to employ
要求,ようきゅう,demand
建築,けんちく,construction
配達,はいたつ,delivery
筆,ふで,writing brush
ゆっくり,ゆっくり,slowly
場面,ばめん,scene
憲法,けんぽう,constitution
常に,つねに,always
大半,たいはん,majority
占める,しめる,to occupy
解ける,とける,to be solved
下り,くだり,down-train
解決,かいけつ,settlement
金属,きんぞく,metal
金銭,きんせん,money
くださる,くださる,to give
要するに,ようするに,in a word
場,ば,place
製品,せいひん,manufactured goods
会計,かいけい,account
愛する,あいする,to love
城,しろ,castle
時刻,じこく,instant
用心,ようじん,care
基づく,もとづく,to be grounded on
貢献,こうけん,contribution
建設,けんせつ,construction
できれば,できれば,if possible
会員,かいいん,member
操作,そうさ,operation
瞬間,しゅんかん,moment
大統領,だいとうりょう,president
用いる,もちいる,to use
膝,ひざ,knee
大戦,たいせん,great war
行動,こうどう,action
冗談,じょうだん,jest
時期,じき,time
製造,せいぞう,manufacture
会合,かいごう,meeting
財産,ざいさん,property
必ずしも,かならずしも,not always
嫌う,きらう,to hate
講演,こうえん,lecture
貴重,きちょう,precious
大臣,だいじん,cabinet minister
ごみ,ごみ,rubbish
ケチ,ケチ,stinginess
一体,いったい,the heck
ちゃんと,ちゃんと,diligently
起こる,おこる,to occur
喧嘩,けんか,quarrel
罪,つみ,"crime, sin, penalty"
材料,ざいりょう,ingredients
眺める,ながめる,to view
眺め,ながめ,scene
同僚,どうりょう,coworker
同様,どうよう,identical
記入,きにゅう,entry
記念,きねん,commemoration
際,さい,on the occasion of
さて,さて,well
全く,まったく,really
