Expression,Reading,Meaning,Sentences,Translation,Pitch,Picture,Audio
軍隊,ぐんたい,"army, armed forces, troops",,,,,
兵,へい,soldier,,,,,
島,しま,island,,,,,
農村,のうそん,farm village​,,,,,
正門,せいもん,main gate,,,,,
戸籍,こせき,family register,,,,,
武器,ぶき,"weapon, arms",,,,,
城内,じょうない,inside of a castle,,,,,
総会,そうかい,general meeting,,,,,
布団,ふとん,futon,,,,,
直線,ちょくせん,straight line​,,,,,
設計,せっけい,"plan, design",,,,,
勢い,いきおい,"force, vigor, energy",,,,,
政党,せいとう,political party,,,,,
歴史,れきし,history,,,,,
営業,えいぎょう,"business, trade",,,,,
府県,ふけん,"prefectures (Tokyo, Hokkaido)",,,,,
巻く,まく,"to wind, coil, roll, wear",,,,,
紹介,しょうかい,introduction,,,,,
冷蔵庫,れいぞうこ,refrigerator,,,,,
造園,ぞうえん,landscape gardening,,,,,
屋根,やね,roof,,,,,
寺院,じいん,buddhist temple,,,,,
調査,ちょうさ,investigation,,,,,
将来,しょうらい,future,,,,,
改札,かいさつ,examination of tickets,,,,,
県庁,けんちょう,prefectural office,,,,,
温泉,おんせん,hot spring,,,,,
映像,えいぞう,"image, picture (screen, tv)",,,,,
細い,ほそい,"thin, slender",,,,,
谷,たに,valley,,,,,
奥,おく,"inner part, inside, interior",,,,,
再び,ふたたび,"again, once more",,,,,
血液,けつえき,blood,,,,,
計算,けいさん,"calculation, forecast",,,,,
対象,たいしょう,"target, object, subject",,,,,
清潔,せいけつ,"clean, hygienic, sanitary",,,,,
技術,ぎじゅ,"technology, engineering, technique",,,,,
九州,きゅうしゅう,Kyūshū,,,,,
領域,りょういき,"area, domain, territory",,,,,
橋,はし,bridge,,,,,
芸術,げいじゅつ,"art, the arts",,,,,
模型,もけい,"model, dummy",,,,,
香り,かおり,"aroma, fragrance, scent, smell",,,,,
量,りょう,"quantity, amount, volume, capacity",,,,,
久しぶり,ひさしぶり,first in a long time​,,,,,
国境,こっきょう,national border,,,,,
階段,かいだん,stairs,,,,,
区別,くべつ,"distinction, differentiation, classification",,,,,
津波,つなみ,"tsunami, tidal wave",,,,,
移民,いみん,"immigration, emigration",,,,,
地域,ちいき,"area, region",,,,,
周り,まわり,"circumference, surroundings",,,,,
接ぐ,つぐ,"to join, piece together, set bones",,,,,
地下鉄,ちかてつ,"underground train, subway​",,,,,
頃,ころ,"approximate time, around, about",,,,,
木材,もくざい,"lumber, timber, wood",,,,,
個人,こじん,"individual, personal, private",,,,,
妥協,だきょう,"compromise, giving in",,,,,
各自,かくじ,each person,,,,,
帯,おび,"obi, kimono sash",,,,,
歴史,れきし,history,,,,,
編む,あむ,"to knit, braid, compile, edit",,,,,
裏,うら,"opposite side, rear, back, behind",,,,,
比べる,くらべる,to compare,,,,,
坂,さか,"slope, incline, hill",,,,,
服装,ふくそう,garments; attire,,,,,
反省,はんせい,"reflection, reconsideration",,,,,
税関,ぜいかん,customs,,,,,
競技,きょうぎ,"game, match, contest",,,,,
囲む,かこむ,"to surround, encircle, enclose",,,,,
辺り,あたり,neighbourhood,,,,,
運河,うんが,"canal, waterway",,,,,
極端,きょくたん,"extreme, extremity",,,,,
消防署,しょうぼうしょ,fire station,,,,,
低い,ひくい,low,,,,,
林,はやし,"woods, groove, forest",,,,,
指導,しどう,"guidance, leadership, instruction",,,,,
森,もり,forest,,,,,
丸い,まるい,"round, circular, spherical​",,,,,
胸,むね,"chest, breast​",,,,,
大陸,たいりく,continent,,,,,
医療,いりょう,"medical care, medical treatment",,,,,
諸国,しょこく,various countries,,,,,
血管,けっかん,"blood vessel, vein",,,,,
仲間,なかま,"companion, fellow, friend",,,,,
改革,かいかく,"reform, reformation, reorganization",,,,,
担ぐ,かつぐ,"to shoulder, carry on one's shoulder",,,,,
有効,ゆうこう,"valid, effective​",,,,,
賞金,しょうきん,"prize money, monetary award",,,,,
衛星,えいせい,"satellite, moon",,,,,
往復,おうふく,"making a round trip, going and returning",,,,,
破片,はへん,"fragment, broken piece",,,,,
並ぶ,ならぶ,"to line up, stand in a line",,,,,
底,そこ,"bottom, sole",,,,,
体温,たいおん,body temperature,,,,,
軽い,かるい,light,,,,,
記録,きろく,"record, minutes, document",,,,,
腰,こし,"lower back, waist, hips",,,,,
著者,ちょしゃ,"author, writer",,,,,
反乱,はんらん,"insurrection, mutiny, rebellion",,,,,
文章,ぶんしょう,"writing, composition, essay",,,,,
宮殿,きゅうでん,palace,,,,,
財布,さいふ,"purse, handbag",,,,,
角度,かくど,angle,,,,,
仏像,ぶつぞう,statue of buddha,,,,,
永遠,えいえん,"eternity, perpetuity",,,,,
雑誌,ざっし,"journal, magazine",,,,,
減る,へる,"to decrease, diminish",,,,,
