Expression,Reading,Meaning,Sentences,Translation,Pitch,Picture,Audio
言う,いう,to say,,,,,
手,て,hand,,,,,
自分,じぶん,oneself,,,,,
医者,いしゃ,doctor,,,,,
仕事,しごと,work,,,,,
思う,おもう,to think,,,,,
会う,あう,to meet,,,,,
家族,かぞく,family,,,,,
具体的,ぐたいてき,"concrete, definite, specific",,,,,
方向,ほうこう,"direction, course",,,,,
地域,ちいき,"area, region",,,,,
目的,もくてき,"purpose, goal",,,,,
工場,こうじょう,factory,,,,,
現代,げんだい,"present age, today",,,,,
私立,しりつ,private establishment,,,,,
独立,どくりつ,independence,,,,,
動物,どうぶつ,animal,,,,,
油田,ゆでん,oil field​,,,,,
体温,たいおん,body temperature,,,,,
行動,こうどう,"action, conduct",,,,,
入社,にゅうしゃ,joining a company,,,,,
知識,ちしき,"knowledge, information",,,,,
料理,りょうり ,"cooking, cuisine, meal",,,,,
同じ,おなじ,"same, equal, identical",,,,,
心臓,しんぞう,heart,,,,,
発音,はつおん,pronunciation,,,,,
作戦,さくせん,"tactics, strategy",,,,,
新鮮,しんせん,fresh,,,,,
世界,せかい,"the world, society",,,,,
制度,せいど,"system, institution",,,,,
説明,せつめい,explanation,,,,,
体力,たいりょく,"stamina, endurance",,,,,
意志,いし,"will, volition",,,,,
費用,ひよう,"cost, expense",,,,,
主食,しゅしょく,staple food,,,,,
通る,とおる,"go by, go through",,,,,
文法,ぶんぽう,grammar,,,,,
本屋,ほんや ,bookstore,,,,,
職業,しょくぎょう,"occupation, profession",,,,,
持参,じさん,"bringing, taking",,,,,
道具,どうぐ,"tool, utensil, instrument",,,,,
独身,どくしん,single,,,,,
不便,ふべん,inconvenience,,,,,
蛇口,じゃぐち,"faucet, tap",,,,,
多い,おおい,many,,,,,
野菜,やさい,vegetable,,,,,
思考,しこう,"thought, consideration",,,,,
開始,かいし,"start, commence",,,,,
教室,きょうしつ,classroom,,,,,
近所,きんじょ,neighbourhood,,,,,
以上,いじょう,"or more, more than, and above",,,,,
問題,もんだい,"problem, question",,,,,
正確,せいかく,"accurate, correct",,,,,
写真,しゃしん,photograph,,,,,
意味,いみ,meaning,,,,,
限界,げんかい,"limit, boundary",,,,,
無料,むりょう,free of charge,,,,,
少数,しょうすう,small number,,,,,
海岸,かいがん,"coast, beach",,,,,
大切,たいせつ,important,,,,,
重い,おもい,heavy,,,,,
集める,あつめる,"to gather, collect",,,,,
店員,てんいん,"shop assistant, clerk",,,,,
公害,こうがい,"pollution, public nuisance",,,,,
映画,えいが,"movie, film",,,,,
死体,したい,corpse,,,,,
安定,あんてい,"stability, steadiness",,,,,
親類,しんるい,"relative, kin",,,,,
強い,つよい,"strong, potent, competent",,,,,
使う,つかう,to use,,,,,
