Time,Time.Read,Time.Trans,House,House.Read,House.Trans,Person,Person.Read,Person.Trans,Family,Family.Read,Family.Trans,Body,Body.Read,Body.Trans,Personality,Personality.Read,Personality.Trans,Food,Food.Read,Food.Trans,Feels,Feels.Read,Feels.Trans
春,はる,spring,屋上,おくじょう,roof top,友人,ゆうじん,friend,お母さん,おかあさん,mother,皮膚,ひふ,skin,不安になる,ふあんになる,anxious,鳥皮,とりかわ,chicken skin,気に障る,きにさわる,"offending, feels hurt"
夏,なつ,summer,車庫,しゃこ,garage,恋人,こいびと,lover,父親,ちちおや,father,肌,はだ,skin,怒りっぽい,おこりっぽい,bad-tempered,目玉焼き,めだまやき,sunny-side up fried egg​,しゃくに障る,しゃくにさわる,"irritate, annoy"
秋,あき,fall,玄関,げんかん,entrance,大人,おとな,adult,母親,ははおや,mother,体,からだ,body,つまらない,つまらない,boring,黄身,きみ,egg yolk,かんに障る,かんにさわる,get on one's nerves
冬,ふゆ,winter,台所,だいどころ,kitchen,子供,こども,child,従兄弟,いとこ,cousin (male),喉,のど,throat,かっこいい,かっこいい,cool,白身,しろみ,egg white,気兼ねする,きがねする,"constraint, feel uneasy"
季節,きせつ,season,電子レンジ,でんしレンジ,microwave oven,赤ちゃん,あかちゃん,baby,従姉妹,いとこ,cousin (female),腕,うで,arm,面白い,おもしろい,funny,玉子丼,たまごどんぶり,bowl of rice topped with egg​,すねる,すねる,sulking
毎朝,まいあさ,every morning,レンジフード,レンジフード,cooker hood,赤ん坊,あかんぼう,"baby, infant",甥,おい,nephew,手,て,hand,面白い,おもしろい,humorous,天丼,てんどん,tempura donburi,むかつく,むかつく,"offended, irritated"
毎週,まいしゅう,every week,戸棚,とだな,cabinet,お年寄り,おとしより,elderly person,姪,めい,niece,お腹,おなか,stomach,優しい,やさしい,nice,鉄火丼,てっかどんぶり,vinegared rice topped with sliced raw tuna,恥をかく,はじをかく,"embarrass, lose face"
毎月,まいつき,every month,冷蔵庫,れいぞうこ,refrigerator,若者,わかもの,young person,親,おや,parents,足,あし,leg,忍耐強い,にんたいづよい,patient,親子丼,おやこどん,bowl of rice topped with chicken and egg,,,
毎年,まいとし,every year,オーブン,オーブン,oven,あの人たち,あのひとたち,those people,子,こ,child,髭,ひげ,"moustache, beard",頼もしい,たのもしい,reliable,雑煮,ぞうに,soup containing rice cakes and vegetables,,,
毎日,まいにち,every day,やかん,やかん,kettle,さん,さん,politenes marker for a person,一家,いっか,one family,背中,せなか,back,恥ずかしい,はずかしい,shy,油揚げ,あぶらあげ,thin deep-fried slices of tofu​,,,
毎晩,まいばん,every night,トースター,トースター,toaster,ちゃん,ちゃん,suffice marker for familiar person (girl),嫁,よめ,"wife, bride",お尻,おしり,"bottom, buttocks​",たわいない,たわいない,silly,お茶漬け,おちゃづけ,rice with tea poured on it​,,,
,,,ストーブ,ストーブ,stove,くん,くん,suffice marker for familiar person (boy),花嫁,はなよめ,bride,臓器,ぞうき,organs,賢い,かしこい,smart,土瓶蒸し,どびんむし,food steam-boiled in an earthenware teapot​,,,
,,,掃除する,そうじする,to clean,幼い,おさない,"very young, childish",夫妻,ふさい,husband and wife,内臓,ないぞう,internal organs,強い,つよい,strong,稲荷寿司 ,いなりずし,sushi wrapped in fried tofu,,,
,,,勉強部屋,べんきょうべや,study room,坊ちゃん,ぼっちゃん,"another's son, young master",夫婦,ふうふ,"married couple, husband and wife",動脈,どうみゃく,artery,センスがいい,センスがいい,artistic,角煮,かくに,stew of cubed meat or fish ,,,
