Basis,Skimming,Scanning
Meaning,A way of reading in a fast manner so as to grasp the main points.,Looking quickly and carefully at the material so as to locate something.
Reading Method,Quick,Selective
Involves,Reading out the maximum content in minimum time.,Finding out the required data.
Objective,To take a birds-eye view of the text.,To spot and cast specific facts.
Familiarity,The reader is not familiar with the text.,The reader knows what he is searching for.
