Words,Reading,Meaning,Related.Words.1,Related.Words.2,Related.Words.3,Related.Words.4,Related.Words.5
意識,しき,"consciousness, awareness, sense",知覚【perception・awareness】,認識【recognition・awareness】,自覚【self-consciousness・self-awareness】,,
事業,じぎょう,"project, enterprise, business, industry, act, deed",企業【 enterprise・business】,仕事【work・business】,,,
状況,じょうきょう,"state of affairs around you, situation, circumstances",有り様【 the state of affairs・condition】,おかれた立場【the situation】,周囲の情勢【 circumstances】,,
