Kanji,ON,KN,K.Meaning,Level,Words.A,Words.B,Words.C
夕,SEKI,yuu,evening,BGN,,,
夜,YA,yo・yoru,night・evening,BGN,,,
晩,BAN,,night・nightfall,INT,,,
毎,MAI,,every,BGN,,,
先,SEN,saki・ma,before・ahead・previous,BGN,,,
次,JI・SHI,tsu・tsugi,next・order・sequence・follow,INT,,,
予,YO,,beforehand・previous,INT,,,
定,TEI・JOU,sada,determine・fix・establish・decide,INT,,,
立,RITSU・RYUU,ta,stand・put up・set up・erect・rise,BGN,,,
歩,HO・BU・FU,aru・ayu,walk,BGN,,,
走,SOU,hashi,run,BGN,,,
登,TOU・TO,nobo,ascend・climb up,INT,,,
止,SHI,to・ya・yo・sa,stop・halt,BGN,,,
駐,CHUU,,park・stop over・reside,INT,,,
入,NYUU,i・hai,enter・insert,BGN,,,
出,SHUTSU・SUI,de・da,exit・leave・go out・put out,BGN,,,
去,KYO・KO,sa,gone・past・leave・elapse,BGN,過去。去年。撤去。除去。退去。消去,死去。去就。国外退去。過去最高,去る。連れ去る。置き去り。忘れ去る
起,KI,o,wake up・get up・awaken・cause,BGN,起床。起源。縁起。躍起。起因。起訴,提起。起用。再起。喚起。起爆。起工,起きる。起こす。起こる。 発起。発起人
寝,SHIN,ne,sleep・lie down,INT,昼寝。寝坊。寝台。寝室。寝言。就寝,寝具。早寝。寝床。寝巻き。寝不足,寝る。寝かせる。寝かす。寝付く。寝過ごす
乗,JOU,no,ride・board・mount・place on,INT,乗客。搭乗。便乗。分乗。試乗。相乗,相乗り。名乗り。乗車券。乗組員。搭乗券,乗る。乗せる。乗り物。乗り換える。乗っ取る
降,KOU,fu・o,fall・descend・ precipitate,INT,降水。以降。降伏。降雪。降雨。降格,降水量。雨降り。下降。降車。滑降,降りる。降る。降り注ぐ。乗降
忙,BOU,isoga,busy・occupied,INT,多忙。忙殺。繁忙,,忙しい。繁忙期
急,KYUU,iso,hurry・sudden・emergency,BGN,急。急行。特急。急速。急激。至急,緊急。応急。急流。早急。急増。緩急,急ぐ。急かす。救急車。急成長。超特急。急降下
座,ZA,suwa,sit down・seat,INT,座席。星座。銀座。口座。講座。王座,即座。一座。座敷,座る。座布団。座談会
泳,EI,oyo,swim,INT,水泳。競泳。泳者。遠泳,,泳ぐ。泳ぎ回る。立ち泳ぎ
泣,KYUU,na,cry・weep・moan,INT,泣く。泣き声。泣き出す。泣かせる,,
家,KA・KE,ie・ya・uchi,house・home・expert,BGN,家族。家庭。作家。家具。家事。農家,国家。家出。家畜。画家。家賃。大家,家主。 貸家。実業家。専門家。芸術家
校,KOU,,school,BGN,学校。校長。高校。校舎。校庭,登校。母校。校歌。校則。開校,高校生。専門学校。小学校。将校。休校。校閲
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
丁,CHOU・TEI,,street・ward・town・tools,ADV,丁度。包丁。丁寧。丁目。丁重。横丁,,
丈,JOU,take,length・height・stature,ADV,丈。丈夫。頑丈。背丈,,大丈夫
与,YO,ata,bestow・give・impart・participate,INT,給与。与党。関与。寄与。授与,与信。投与。供与。貸与。付与。贈与,賞与。参与。譲与。与える。分け与える
丑,CHUU,sushi,sign of the ox,ADV,丑,,丑の日
丘,KYUU,oka,hill,ADV,丘。丘陵。砂丘,,
両,RYOU,,both,INT,両親。両方。両替。両側。両立。両手,両者。両腕。車両。両面。両端。両極,両足。両社。両用。両天秤
並,HEI・OU,na・nami・nara,row・line up,INT,並木。並行。並列。並立,,並ぶ。並べる。月並み。町並み。足並み。軒並み
巨,KYO,,big・gigantic・large,INT,巨額。巨大。巨人。巨匠。巨木。巨体,,巨視的。巨大地震
串,,kushi,skewer,ADV,串。牛串。魚串。金串。竹串,,串焼き。串団子。串揚げ。串刺し
丸,GAN,maru,round・full・roll up,INT,丸。弾丸。丸太。丸薬。一丸,真ん丸。丸焼け。丸焼き。丸写し。丸々,丸い。丸で。日の丸。丸める。丸まる。丸め込む
丹,TAN,,rust-colored・red・sincerity,ADV,丹念。丹精,,
丼,,donburi,bowl・bowl of food,ADV,牛丼。天丼,,親子丼。カツ丼
久,KYUU・KU,hisa,long time・old story,INT,永久。持久。耐久。恒久,久々。半永久,久しぶり。耐久性。恒久的。永久凍土
及,KYUU,oyo,reach out・exert・exercise・cause,ADV,普及。追及。言及。及第。波及,,及ぶ。及ぼす。説き及ぶ。自己言及
乏,BOU,tobo,destitution・scarce・limited,ADV,貧乏。欠乏,,乏しい。貧乏人。器用貧乏。酸素欠乏
乙,OTSU,,the latter・duplicate・strange,ADV,乙。乙姫。乙女,,早乙女
乱,RAN,mida,riot・war・disorder,INT,反乱。乱用。混乱。乱暴。内乱。乱闘,散乱。乱雑。乱入。乱視。錯乱,乱れ。乱す。乱れる。乱気流。取り乱す
乳,NYUU,chichi・chi,milk・breast,INT,乳。牛乳。乳房。乳首。哺乳。母乳,豆乳。生乳。乳酸。乳児。乳業。人工乳,乳製品。哺乳類。哺乳瓶。乳幼児。低脂肪乳
乾,KAN・KEN,kawa,dry・drought・dessicate,INT,乾杯。乾燥。乾季。乾物。速乾,,乾く。乾かす。 乾き。乾電池。乾燥機
了,RYOU,,complete・finish,INT,了。完了。終了。了解。了承。修了,魅了。了見。読了。未了。販売終了,了解済み。試合終了。終了後。伝送終了
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
