Kanji,Reading,M1,N1,M2,N2,M3,N3,M4,N4,M5,N5,M6,N6,M7,N7,M8,N8,M9,N9,M10,N10,M11,N11,M12,N12,S1,T1
銅,DOU,銅,"copper, bronze (medal)",銅器,copperware,銅板,copperplate,銅像,bronze statue,銅貨,copper coin,銅線,copper wire,青銅,bronze,,,,,,,,,,,駅前に有名な侍の銅像があります。,There is a bronze statue of a famous samurai in front of the station.
銀,GIN,銀,silver,銀河,milky way galaxy,銀婚式,silver wedding anniversary,銀世界,snowy world,水銀,mercury (Hg),銀行,bank,銀貨,silver coin,銀幕,"silver screen, the film world",,,,,,,,,毎月、月末に銀行へお金を下ろしに行きます。,"At the end of each month, I go to the bank to withdraw money."
丁,"CHOU, TEI",丁度,"just, exactly",包丁,kitchen knife,落丁,missing page,丁重,"careful, gracious, polite, hospitable",装丁,"binding (ex.book), design (ex.book cover)",3丁目,third street (city block),長丁場,"long stretch, long haul",横丁,"side street, alley",丁字路,"３forked road, 3-way junction",丁寧,"polite, courteous, careful",,,,,田中さんはこの町の３丁目に住んでいます。,Mr. Tanaka lives in the 3rd street of this town.
