K1,K2,K3
太陽系 solar system taiyōkei,肉太 thick strokes nikubuto,回忌 death anniversary kaiki
皇太后 empress dowager kōtaigō,太陰 moon taiin,"忌避 evasion, skirting, ducking kihi"
皇太子 crown prince kōtaishi,太陰暦 lunar calendar taiinreki,"禁忌 taboo, contra-indication kinki"
皇太子妃 crown princess kōtaishihi,太鼓判 large seal taikoban,徴兵忌避 draft dodging chōhei kihi
太書き thick writing strokes futogaki,"太鼓腹 potbelly, beer belly taikobara",徴兵忌避者 draft dodger chōhei kihisha
太公望 angler taikōbō,太虚 solar energy taikyo,忌諱 displeasure of a person kii
"与太者 hooligan, hoodlum, thug, bully yotamono",太子 crown prince taishi,
太刀打ち cross sword with tachiuchi,聖徳太子 prince shohtoku shōtoku taishi,
太平洋 Pacific Ocean taiheiyō,"太守 governor-general, viceroy taishu",
太平洋戦争 Pacific War taiheiyō sensō,太祖 dynasty founder taiso,
"図太い audacious, impudent zubutoi",太陽 the sun taiyō,
,丸太 log maruta,
,太初 Genesis taisho,
,"太古 ancient times, pre-history taiko",
,太鼓 drum taiko,
