Kanji,Reading,Veemuenics,KanjiHybrids,S1,S2,S3,S4,S5
人,"hito, JIN, NIN",day trip,人uman 人erson,"人嫌い unsociable, extremely shy hitogirai","人殺し murder, manslaughter hitogoroshi",美人 pretty woman bijin,"婦人 lady, young woman fujin","夫人 wife, married woman, Mrs. fujin"
,,,,"人々 people, crowd hitobito","人柄 character, personality hitogara","人質 hostage, kidnap victim hitojichi",,
