Sentences
わたしは夏の間、ずっと北海道にいました。
両親が旅行をしている間、ぼくが毎日食事を作りました。
兄がゲームをしている間、 弟はそばで見ています。
夏休みにとなりのうちがにぎやかな間は、わたしも楽しい気分になる。
夏休みの間に引っ越ししたいです。
わたしがいない間にだれか来たのでしょうか。門が少し開いています。
日本にいる間に1度富士山に登りたい。
暇な間に本だなをかたづけてしまおう。
さんざん道に迷ったあげく、結局、駅前に戻って交番で道を聞かなければならなかった。
この問題については、長時間にわたる議論のあげく、結論は先送りされた。
姉はあい子さんの誕生日にケーキをあげた。
会社の人たちにあげるんです。
この人形は部長の奥さまにさしあげようと思って買いました。
先生の受賞のお祝いに何かさしあげましょうよ。
わたしの旅行中、花に水をやるのを忘れないでね。
愛あっての結婚生活だ。愛がなければ、いっしょに暮らす意味がない。
交渉は相手あってのことですから、自分の都合だけ主張してもうまくいかない。
食事の後で、少し散歩しませんか。
この薬はご飯を食べる前に飲みますか、食べた後で飲みますか。 
このビデオ、あなたが見た後で、わたしにも貸してください。
祭りの後、ごみがいっぱいだった。
祖父はみんなとお茶を飲んだ後、ずっと部屋で本を読んでいます。
試験の問題は易しかったのに、考えすぎたあまり、間違えてしまった。
合格の知らせを聞いて、彼女はうれしさのあまり泣き出した。
夫が突然の事故で亡くなった。彼女は悲しみのあまり心の病になってしまった。
今年の夏はあまりの暑さに食欲もなくなってしまった。
今のわたしの仕事はきつい。あまりの大変さに時々会社を辞めたくなる。
商品の説明のし方いかんで、売れ行きに大きく差が出てきてしまう。
国の援助のいかんによって、高齢者や身体障害者の暮らし方が変わると思う。
今度の事件をどう扱うかは校長の考え方いかんです。
君の今学期の出席率いかんでは、進級できないかもしれないよ。
本の売れ行きいかんでは、すぐに増刷ということもあるでしょう。
出港は午後3時だが、天候のいかんによっては、出発が遅れることもある。
理由のいかんにかかわらず、いったん払い込まれた受講料は返金できないことになっています。
この区では、場所のいかんにかかわらず路上喫煙は禁止です。
事情のいかんによらず、欠席は欠席だ。
試験の結果いかんによらず、試験中に不正行為のあったこの学生の入学は絶対に認められない。
進行状況のいかんによらず、中間報告を提出してください。
約束した以上、守るべきだと思う。
この学校に入学した以上は、校則は守らなければならない。
学生である以上、勉強を第一にしなさい。
