Basis,Skimming,Scanning
Meaning,Skimming is a way of reading something in a fast manner so as to grasp the main points.,Scanning means to look carefully and quickly at the written material so as to locate something.
Method of Reading,Quick,Selective
Involves,Reading out the maximum content in minimum time.,Finding out the required data.
Objective,To take a birds-eye view of the text.,To spot and cast specific facts.
Familiarity,The reader is not familiar with the text.,The reader knows what he is searching for.
