W1,W2,W3
河川 かせん rivers,,
山川 さんせん mountains and rivers,,
三川 さんせん three rivers,,
川柳 せんりゅう satirical poem,,
"川上 かわかみ upstream, upriver",,
"川瀬 かわせ rapids, shallows of a river",,
"小川 おがわ brook, streamlet",,
江戸川 えどがわ Edo River,,
"川原 かわら dry riverbed, river beach",,
"小国 しょうこく small nation, lesser power",,
"小説 しょうせつ novel, story, fiction",,
小史 しょうし short history,,
小額 しょうがく small denomination,,
小規模 しょうきぼ small-scale,,
小数 しょうすう decimal (fraction),,
大小 だいしょう large and small,,
"縮小する しゅくしょうする reduce, curtail, cut down",,
中小企業 ちゅうしょうきぎょう small-to-medium- sized enterprises,,
"最小 さいしょう the smallest, minimum",,
小破 しょうは slight damage,,
小前提 しょうぜんてい minor premise,,
小事 しょうじ trifle,,
小委 しょうい subcommittee,,
小学校 しょうがっこう elementary [primary] school,,
小学生 しょうがくせい schoolchild,,
過小評価する かしょうひょうかする underestimate,,
小市民 しょうしみん lower middle class,,
小身 しょうしん humble position,,
"小心な しょうしんな timid, coward",,
小主観 しょうしゅかん small ego,,
小社 しょうしゃ my company,,
小店 しょうてん my little shop,,
"小児 しょうに little child, infant",,
小用 しょうよう small matter,,
小水 しょうすい urine,,
小型 こがた small-sized,,
"小物 こもの small articles, gadget",,
小鳥 ことり small [little] bird,,
小麦 こむぎ wheat,,
"小屋 こや cottage, hut,",,
小切手 こぎって check,,
小幅 こはば single breadth,,
"小指 こゆび little finger, pinkie",,
小文字 こもじ lowercase letter,,
小雪 こゆき light snowfall,,
"小声 こごえ low voice, whisper",,
"小売り こうり retail, sale in small quantities",,
小売店 こうりてん retail store,,
小分け こわけ subdivision,,
小高い こだかい slightly elevated,,
"小川 おがわ brook, streamlet",,
小暗い おぐらい dusky,,
小夜曲 さよきょく serenade,,
水道 すいどう water service,,
"水準 すいじゅん level, standard; water level",,
水中 すいちゅう in the water,,
水面 すいめん surface of the water,,
"水力 すいりょく waterpower, hydraulic power",,
"水蒸気 すいじょうき steam, water vapor",,
海水 かいすい seawater,,
地下水 ちかすい underground water,,
水産物 すいさんぶつ marine products,,
"水域 すいいき water area, waters",,
"水銀 すいぎん mercury, quicksilver",,
石灰水 せっかいすい lime water,,
水素 すいそ hydrogen,,
水爆 すいばく hydrogen bomb,,
炭水化物 たんすいかぶつ carbohydrates,,
水星 すいせい Mercury,,
水洗い みずあらい washing with water,,
水着 みずぎ bathing [swimming] suit,,
"水色 みずいろ sky blue, turquoise",,
雨水 あまみず rainwater,,
水飴 みずあめ starch syrup,,
水を注す みずをさす pour water (into),,
水入らずで みずいらずで by ourselves,,
水資源 みずしげん water resources,,
水仕事 みずしごと scrubbing and washing,,
水商売 みずしょうばい bar and restaurant business,,
