K1,M1,S1,W1,K2,M2,S2,W2,K3,M3,S3,W3,K4,M4,S4,W4,K5,M5,S5,W5,K6,M6,S6,W6,K7,M7,S7,W7,K8,M8,S8,W8
悪,bad,,,意,idea,,,運,carry,,,屋,roof,,,開,open,,,館,large building,,,究,research,,,去,gone,,
安,relax,,,育,bring up,,,泳,swim,,,温,warm,,,階,storey,,,岸,beach,,,急,hurry,,,橋,bridge,,
暗,darkness,,,員,employee,,,駅,station,,,化,change,,,寒,cold,,,起,wake up,,,級,class,,,業,profession,,
医,doctor,,,院,institution,,,央,center,,,荷,baggage,,,感,emotion,,,期,period,,,宮,Shinto shrine,,,曲,bend,,
委,committee,,,飲,drink,,,横,sideways,,,界,world,,,漢,China,,,客,guest,,,球,ball,,,局,office,,
銀,silver,,,係,person in charge,,,県,prefecture,,,港,harbor,,,仕,attend,,,歯,tooth,,,式,style,,,守,guard,,
区,ward,,,軽,lightly,,,庫,warehouse,,,号,nickname,,,死,death,,,詩,poem,,,実,reality,,,取,take,,
苦,suffering,,,血,blood,,,湖,lake,,,根,root,,,使,use,,,次,next,,,写,copy,,,酒,sake,,
具,tool,,,決,decide,,,向,yonder,,,祭,ritual,,,始,begin,,,事,matter,,,者,someone,,,受,accept,,
君,pal,,,研,polish,,,幸,happiness,,,皿,dish,,,指,finger,,,持,hold,,,主,lord,,,州,state,,
拾,pick up,,,重,heavy,,,昭,shining,,,乗,ride,,,真,true,,,昔,long ago,,,息,breath,,,対,opposite,,
終,end,,,宿,inn,,,消,extinguish,,,植,plant,,,深,deep,,,全,whole,,,速,quick,,,待,wait,,
習,learn,,,所,place,,,商,make a deal,,,申,humbly say,,,進,advance,,,相,inter-,,,族,tribe,,,代,substitute,,
集,gather,,,暑,hot,,,章,badge,,,身,somebody,,,世,generation,,,送,send off,,,他,other,,,第,no.,,
住,dwell,,,助,help,,,勝,victory,,,神,gods,,,整,organize,,,想,concept,,,打,strike,,,題,topic,,
炭,chacoal,,,柱,pillar,,,定,determine,,,都,metropolis,,,湯,hot water,,,農,farming,,,畑,farm,,,皮,pelt,,
短,short,,,丁,street,,,庭,courtyard,,,度,degrees,,,登,ascend,,,波,waves,,,発,departure,,,悲,sad,,
談,discuss,,,帳,notebook,,,笛,flute,,,投,throw,,,等,etc.,,,配,distribute,,,反,anti-,,,美,beauty,,
着,wear,,,調,tune,,,鉄,iron,,,豆,beans,,,動,move,,,倍,double,,,坂,slope,,,鼻,nose,,
注,pour,,,追,chase,,,転,revolve,,,島,island,,,童,juvenile,,,箱,box,,,板,plank,,,筆,writing brush,,
氷,icicle,,,負,defeat,,,平,even,"HEI, BYOU, HYOU",平和・平等,命,fate,,,由,reason,,,羊,sheep,,,落,fall,,,礼,thanks,,
表,surface,,,部,section,,,返,return,,,面,mask,,,油,oil,,,洋,ocean,,,流,current,,,列,file,,
秒,second,,,服,clothing,,,勉,exertion,,,問,question,,,有,have,,,葉,leaf,,,旅,trip,,,練,practice,,
病,ill,,,福,blessing,,,放,set free,,,役,duty,,,遊,play,,,陽,sunshine,,,両,both,,,路,path,,
品,goods,,,物,thing,,,味,flavor,,,薬,medicine,,,予,beforehand,,,様,Esq.,,,緑,green,,,和,peace,,
愛,love,,,囲,surround,,,塩,salt,,,課,chapter,,,街,boulevard,,,管,pipe,,,季,seasons,,,機,machine,,
案,plan,,,胃,stomach,,,億,hundred million,,,芽,bud,,,各,each,,,関,connection,,,紀,chronicle,,,議,deliberation,,
以,by means of,,,印,stamp,,,加,add,,,改,renew,,,覚,memorize,,,観,outlook,,,喜,rejoice,,,求,request,,
衣,garment,,,英,England,,,果,fruit,,,械,contraption,,,完,perfect,,,願,petition,,,旗,national flag,,,泣,cry,,
位,rank,,,栄,prosperity,,,貨,cargo,,,害,harm,,,官,bureaucrat,,,希,hope,,,器,utensil,,,救,salvation,,
