Kanji,Assoc,Reading,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
漁,ishing,"GYO, RYŌ",fishing,漁業,gyogyō,"fishery, fishing industry",漁法,gyohō,fishing method,漁場,gyojō,fishing grounds
魚,ishes,"sakana, uo, GYO, RYŌ","fishes, seafoods, sea animals",魚介類,gyokairui,"marine products, seafood",魚屋,sakanaya,"fish market, fish dealer",熱帯魚,netaigyo,tropical fish
