K1,M1,R1,S1,W1,K2,M2,R2,S2,W2,K3,M3,R3,S3,W3,K4,M4,R4,S4,W4,K5,M5,R5,S5,W5,K6,M6,R6,S6,W6
丁,"street, ward","CHOU, TEI",,丁目。丁度。丁寧,丈,"length, measure",JOU,take,丈夫。頑丈。背丈,与,bestow,YO,ata,給与。与える。与党,丑,"ox, cow",CHOU,ushi,丑。丑寅。丑の日,丘,hill,KYUU,oka,丘陵。砂丘。丘,両,both,RYOU,,両親。両立。両端
並,"line up, row",HEI,"na, nami, nara",並行。並べる。並木,巨,"giant, large",KYO,,巨大。巨額。巨匠,串,skewer,,kushi,串揚げ。串。竹串,丸,round,GAN,maru,丸い。丸める。弾丸,丹,"red, pills",TAN,ni,丹念。丹精。丹,丼,bowl,DON,donburi,丼。牛丼。親子丼
久,long time,"KYUU, KU",hisa,久しぶり。永久,及,"reach out, exert",KYUU,oyo,及ぶ。普及。追及,乏,"scarce, limited",BOU,tobo,乏しい。貧乏。欠乏,乙,"latter, duplicate",UTSU,oto,甲乙。乙姫。乙種,乱,"riot, disorder",RAN,mida,反乱。乱用。乱す,乳,milk,NYUU,"chichi, chi",乳。牛乳。乳房
乾,"dry, drought",KAN,kawa,乾燥。乾く。乾電池,了,complete,RYOU,,完了。了解。魅了,争,"dispute, argue",SOU,araso,競争。争う。戦争,互,"mutual, reciprocal",GO,taga,交互。互い。互換,井,well,"SEI, SHOU",i,井戸。天井。油井,亜,"asia, come after",A,,亜鉛。亜熱帯
些,a little bit,"SA, SHA","isasaka, chi",些か。些細。些事,亡,deceased,"BOU, MOU",na,亡くす。死亡。亡骸,享,undergo,KYOU,,享受。享有。享楽,亭,pavilion,TEI,,亭主。料亭。旅亭,仏,buddha,BUTSU,hotoke,仏。大仏。仏像,仁,"humanity, virtue","JIN, NI",,仁。仁義。寛仁
