Essence
"<b>で: particle.</b>  <br><u>Place of action.</u> <br>・教室<b>で</b>お弁当を食べます。 <br>・彼女は公園<b>で</b>本を読んでいます。 <br>・子供たちは学校<b>で</b>遊んでいます。 <br><b>で: particle.</b>  <br><u>Place of occurrence.</u> <br>・明日このホール<b>で</b>説明会があります。 <br>・体育館<b>で</b>スポーツ大会があります。 <br>・この町<b>で</b>祭りがあります。 <br><b>に: particle.</b>  <br><u>Place of existence.</u> <br>・机の上<b>に</b>本があります。 <br>・スーパーの前<b>に</b>花屋があります。 <br>・銀行はどこ<b>に</b>ありますか。 <br>・私は家<b>に</b>います。 <br>・猫はベッド<b>に</b>います。 <br><b>に: particle.</b> <br><u>Place where certain situation exists.</u> <br>・駅の前<b>に</b>いろいろな店並んでいます。 <br>・庭<b>に</b>花が咲いています。 <br>・彼は日本<b>に</b>住んでいます。 <br>・空<b>に</b>雲が浮いています。"
"<b>を: particle.</b>  <br><u>Starting point.</u> <br>・家<b>を</b>出ます。 <br>・電車<b>を</b>降ります。 <br>・日本<b>を</b>離れます。 <br>・飛行機<b>を</b>降りました。 <br>・韓国 <b>を</b>出発します。 <br><b>を: particle.</b>  <br><u>Passing point.</u> <br>・橋<b>を</b>渡ります。 <br>・空<b>を</b>飛びます。 <br>・公園<b>を</b>歩きました。 <br>・駅前<b>を</b>走りました。 <br>・駅<b>を</b>通り過ぎました。 <br><b>に: particle.</b>  <br><u>Terminating point.</u> <br>・家<b>に</b>入ります。 <br>・山<b>に</b>登ります。 <br>・駅<b>に</b>着きました。 <br>・目標<b>に</b>達しました。 <br>・日本<b>に</b>行きたいです。 "
"<b>に: particle.</b>  <br><u>Party to or against whom something is done.</u> <br>・父<b>に</b>写真を見せます。 <br>・子供<b>に</b>ピアノを教えます。 <br>・私は彼女<b>に</b>本を返した。 <br><b>と: particle.</b>  <br><u>Party with whom one does something.</u> <br>・私は美智子さん<b>と</b>結婚したいです。 <br>・兄<b>と</b>けんかをしました。 <br>・私は友達<b>と</b>テニスをします。 <br>・子供たちは先生<b>と</b>勉強しています。 <br>・彼は家族<b>と</b>レストランで食べました。 <br><b>から: particle.</b>  <br><u>Place from which something is taken.</u> <br>・財布<b>から</b>お金を出します。 <br>・この中<b>から</b>好きなものを選んでください。 <br>・私は図書館<b>から</b>本を借りました。 <br>・彼は私<b>から</b>ペンをもらいました。 <br>・彼女は花屋<b>から</b>花を買いました。 <br><b>に: particle.</b>  <br><u>Place to which something is returned.</u> <br>・財布<b>に</b>お金を入れます。 <br>・ノート<b>に</b>名前を書きます。 <br>・私は図書館<b>に</b>本を返しました。 <br>・彼らは日本<b>に</b>帰国しました。 <br>・彼女は本棚<b>に</b>本を戻した。"
"<b>に: particle.</b>  <br><u>Purpose. Objective.</u> <br>・デパートへ買い物<b>に</b>行きます。 <br>・明日留学生がこの工場の見学<b>に</b>来ます。 <br>・この辺は買い物<b>に</b>便利です。 <br>・ビザの延長<b>に</b>どんな書類が必要ですか。 <br><b>で: particle.</b>  <br><u>Cause.</u> <br>・交通渋滞<b>で</b>遅れた。 <br>・天気<b>で</b>風邪を引いた。 <br>・事故<b>で</b>電車が止まっています。 <br>・毎日雨<b>で</b>テニスの練習ができません。 <br><b>で: particle.</b>  <br><u>Means. Method.</u> <br>・バス<b>で</b>学校へ行きます。 <br>・ペン<b>で</b>書いてください。 <br>・ナイフ<b>で</b>ケーキを切りました。 <br>・英語<b>で</b>手紙を書きます。 <br><b>で: particle.</b>  <br><u>Material.</u> <br>・紙<b>で</b>人形を作ります。 <br>・このドレスはシルク<b>で</b>できている。 <br>・この絵は油絵の具<b>で</b>できている。 <br>・このバタと卵<b>で</b>美味しいケーキを焼きます。 <br><b>から: particle.</b>  <br><u>Basic ingredient. Raw material.</u> <br>・日本酒は米<b>から</b>作ります。 <br>・ワインはぶどう<b>から</b>できている。 <br>・ビールは麦<b>から</b>できている。 <br>・石油<b>から</b>いろいろなものができます。"
"<b>に: particle.</b>  <br><u>Specific time.</u> <br>・授業は９時<b>に</b>始まります。 <br>・今日は3時<b>に</b>会いましょう。 <br>・十に月<b>に</b>日本に行きます。 <br><b>から〜まで: particle.</b>  <br><u>Starting and ending points in terms of time.</u> <br>・銀行は９時<b>から</b>３時<b>まで</b>です。 <br>・朝<b>から</b>雨が降っています。 <br>・昨日は２時ごろ<b>まで</b>ずっと本を読んでいました。 <br>・今日は9時<b>から</b>5時<b>まで</b>働きます。 <br><b>までに: particle.</b>  <br><u>Limit of time. Deadline.</u> <br>・25日<b>までに</b>申し込み用紙を出してください。 <br>・9時半<b>までに</b>空港に着かなければなりません。 <br>・今日の夕方<b>までに</b>宿題を終わらせなさい。。 <br>・このプロジェクトは来月の末<b>までに</b>完成させる予定です。 <br>・飛行機に乗る<b>までに</b>パスポートを忘れないでください。  <br>・彼は試験が始まる<b>までに</b>勉強しました。 <br><b>で: particle.</b>  <br><u>Time limit.</u> <br>・あと５０分<b>で</b>試験が終わります。 <br>・作文は30分<b>で</b>書きおわります。 <br>・今日の宿題は三時間<b>で</b>終わった。 <br>・彼は一週間<b>で</b>日本語を勉強し始めた。 <br>・このケーキは一時間<b>で</b>食べられるかな。"
