品詞,Parts.of.Speech,Examples
動詞,verbs,買う・持つ・売る・読む・呼ぶ・書く・急ぐ・渡す・食べる・見る・する・来る
形容詞,adjectives,長い・小さい・高い・赤い・嬉しい・痒い・辛い・静か・便利・きれい・安全
名詞,nouns,本・机・教室・夢・理由・日本・家族・新宿・浅草・駅・大学・町・京都・東京
指示詞,demonstratives,これ・それ・あれ・この・その・あの・ここ・そこ・あそこ
副詞,adverbs,ゆっくり・すたすた・すっかり・わざと・とても・少し・もっと・非常に
接続詞,conjunctions,だから・従って・しかし・けれども・しかも・一方・ところで・そこで
助動詞,auxiliaries,れる・られる・らしい・そうだ・ようだ・はずだ・べきだ・だろう・まい
助詞,particles,は・が・を・に・で・と・も・の・よ・ね・さえ・から・だけ・ばかり・のに・ので
